Index,is_outlier_replies,is_outlier_views,is_outlier_votes
0,False,False,True
1,True,True,True
2,False,True,True
5,True,True,False
6,True,True,True
7,True,False,False
11,False,True,False
13,True,True,False
16,True,False,True
17,False,False,True
20,True,True,True
23,False,True,False
26,True,True,True
29,False,True,False
35,True,True,True
36,False,False,True
44,False,False,True
49,True,False,False
54,True,True,True
55,True,True,True
57,True,False,False
65,False,False,True
67,True,True,True
72,True,True,True
75,False,True,True
76,False,True,False
77,True,True,False
82,True,True,False
83,True,True,True
87,True,True,False
88,True,True,True
89,True,True,False
90,True,True,True
98,True,True,True
100,True,False,False
101,False,False,True
102,True,True,True
103,True,True,True
104,True,True,True
112,True,True,True
113,True,True,True
115,False,False,True
123,False,False,True
129,True,True,False
130,True,True,True
132,False,False,True
133,True,True,True
141,True,True,True
147,False,True,False
148,True,True,False
149,True,True,True
150,True,True,True
153,True,True,False
154,True,True,True
160,False,True,False
162,True,True,False
166,True,True,False
171,True,True,False
172,True,False,True
175,False,False,True
177,False,True,False
183,True,True,True
185,True,True,False
188,True,True,True
191,True,True,False
193,False,False,True
197,True,True,True
198,True,True,False
206,True,True,True
211,True,False,True
212,True,True,True
218,False,False,True
221,True,True,True
222,True,True,True
223,True,True,True
226,True,True,True
227,True,True,False
231,True,True,True
244,False,False,True
246,True,True,False
257,True,True,True
263,True,True,True
265,True,True,True
270,True,True,True
281,False,False,True
294,True,True,False
315,True,True,False
318,True,True,True
324,True,True,False
330,False,True,False
335,True,True,True
336,True,True,True
337,True,True,True
341,False,True,False
342,True,True,True
343,False,False,True
346,False,False,True
349,True,True,False
357,False,False,True
359,True,True,True
370,True,True,False
371,False,False,True
375,False,True,True
381,True,False,False
386,False,False,True
397,True,True,False
398,False,True,True
404,True,False,True
406,False,True,True
409,True,True,False
415,True,True,False
416,True,True,True
423,True,True,False
424,True,True,True
435,True,True,False
442,True,True,False
451,False,True,False
452,False,False,True
454,False,False,True
467,True,True,True
469,False,False,True
472,True,False,False
475,True,True,True
482,True,True,True
484,True,True,False
490,True,True,False
503,False,True,False
505,False,True,True
526,True,True,False
529,False,True,False
530,False,True,False
557,False,False,True
560,False,False,True
561,False,True,True
562,True,True,False
564,False,False,True
568,False,True,False
570,False,False,True
582,True,False,True
586,False,True,True
590,True,True,False
599,True,True,False
604,False,True,True
605,True,True,True
607,True,True,False
608,False,True,False
616,True,True,True
625,False,True,False
630,True,True,False
634,True,True,True
640,True,True,False
646,True,True,True
651,True,True,True
657,False,False,True
665,True,True,True
668,True,False,True
677,True,True,True
687,True,True,False
689,False,True,False
695,False,False,True
718,True,True,True
725,True,True,False
726,False,True,True
729,True,True,True
736,True,True,True
737,False,True,True
740,False,False,True
758,True,True,False
760,False,True,True
763,False,False,True
777,False,True,True
782,True,True,False
783,False,False,True
805,False,False,True
815,True,True,True
839,True,True,True
842,False,False,True
844,False,False,True
846,True,True,False
856,True,True,True
876,False,False,True
887,False,True,True
888,True,True,True
891,True,True,False
893,True,True,True
901,False,False,True
902,False,False,True
913,False,True,True
914,True,True,False
916,True,True,True
928,True,True,False
929,True,True,False
931,False,False,True
935,True,True,True
947,True,True,False
948,True,False,False
966,False,False,True
968,True,True,False
976,True,True,False
978,False,False,True
979,True,True,False
985,False,True,False
996,False,True,False
997,False,False,True
998,True,True,False
1000,False,True,True
1031,False,False,True
1032,False,True,False
1070,True,True,False
1075,False,False,True
1078,True,True,True
1080,False,False,True
1096,False,True,False
1103,False,False,True
1116,False,True,False
1118,True,True,False
1136,False,True,False
1143,False,False,True
1145,False,True,True
1147,True,True,True
1151,True,True,False
1169,False,False,True
1170,True,True,False
1180,True,False,True
1188,False,True,True
1193,True,True,True
1201,True,True,True
1208,True,True,True
1209,True,True,False
1235,True,True,False
1239,False,True,False
1243,False,False,True
1276,True,True,False
1277,False,False,True
1291,False,False,True
